"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	31	7161505	0.4
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	101	7290395	1.4
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	139	6828376	2.0
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	315	6637709	4.7
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	137	7078838	1.9
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	306	6743731	4.5
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	111	7340512	1.5
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	179	6935089	2.6
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	67	6447003	1.0
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	105	5872453	1.8
	"Other synthetic narcotics"	"T40.4"	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	17	3900194	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Alaska"	"02"	"15-24 years"	"15-24"	"Female"	"F"	13	1042715	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	21	1234839	1.7
	"Other synthetic narcotics"	"T40.4"	"Alaska"	"02"	"25-34 years"	"25-34"	"Female"	"F"	27	1072490	2.5
	"Other synthetic narcotics"	"T40.4"	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	42	1186497	3.5
	"Other synthetic narcotics"	"T40.4"	"Alaska"	"02"	"35-44 years"	"35-44"	"Female"	"F"	17	1044971	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	38	1115891	3.4
	"Other synthetic narcotics"	"T40.4"	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	22	1061505	2.1
	"Other synthetic narcotics"	"T40.4"	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	32	1160417	2.8
	"Other synthetic narcotics"	"T40.4"	"Alaska"	"02"	"55-64 years"	"55-64"	"Female"	"F"	19	803627	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	21	891041	2.4
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	154	9329298	1.7
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"15-24 years"	"15-24"	"Male"	"M"	620	10022760	6.2
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"25-34 years"	"25-34"	"Female"	"F"	246	9184405	2.7
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"25-34 years"	"25-34"	"Male"	"M"	825	9797220	8.4
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"35-44 years"	"35-44"	"Female"	"F"	254	8979544	2.8
	"Other synthetic narcotics"	"T40.4"	"Arizona"	"04"	"35-44 years"	"35-44"	"Male"	"M"	585	9181065	6.4
