"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Heroin"	"T40.1"	"1999"	"1999"	"Arizona"	"04"	"Male"	"M"	26	2505524	1.0
	"Heroin"	"T40.1"	"1999"	"1999"	"California"	"06"	"Female"	"F"	63	16800161	0.4
	"Heroin"	"T40.1"	"1999"	"1999"	"California"	"06"	"Male"	"M"	419	16699043	2.5
	"Heroin"	"T40.1"	"1999"	"1999"	"Colorado"	"08"	"Male"	"M"	36	2124660	1.7
	"Heroin"	"T40.1"	"1999"	"1999"	"Connecticut"	"09"	"Female"	"F"	14	1747148	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Connecticut"	"09"	"Male"	"M"	83	1639253	5.1
	"Heroin"	"T40.1"	"1999"	"1999"	"Delaware"	"10"	"Male"	"M"	10	376258	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"District of Columbia"	"11"	"Male"	"M"	18	268416	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Florida"	"12"	"Female"	"F"	16	8073847	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Florida"	"12"	"Male"	"M"	108	7685574	1.4
	"Heroin"	"T40.1"	"1999"	"1999"	"Illinois"	"17"	"Male"	"M"	26	6045670	0.4
	"Heroin"	"T40.1"	"1999"	"1999"	"Massachusetts"	"25"	"Male"	"M"	12	3042515	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Michigan"	"26"	"Female"	"F"	11	5047770	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Michigan"	"26"	"Male"	"M"	34	4849346	0.7
	"Heroin"	"T40.1"	"1999"	"1999"	"Missouri"	"29"	"Male"	"M"	43	2701782	1.6
	"Heroin"	"T40.1"	"1999"	"1999"	"Nevada"	"32"	"Male"	"M"	39	985296	4.0
	"Heroin"	"T40.1"	"1999"	"1999"	"New Jersey"	"34"	"Female"	"F"	47	4304271	1.1
	"Heroin"	"T40.1"	"1999"	"1999"	"New Jersey"	"34"	"Male"	"M"	165	4055321	4.1
	"Heroin"	"T40.1"	"1999"	"1999"	"New Mexico"	"35"	"Male"	"M"	21	889421	2.4
	"Heroin"	"T40.1"	"1999"	"1999"	"New York"	"36"	"Male"	"M"	39	9105071	0.4
	"Heroin"	"T40.1"	"1999"	"1999"	"North Carolina"	"37"	"Male"	"M"	38	3886651	1.0
