"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Heroin"	"T40.1"	"1999"	"1999"	"Arizona"	"04"	"Male"	"M"	"White"	"2106-3"	24	2225387	1.1
	"Heroin"	"T40.1"	"1999"	"1999"	"California"	"06"	"Female"	"F"	"White"	"2106-3"	53	13203242	0.4
	"Heroin"	"T40.1"	"1999"	"1999"	"California"	"06"	"Male"	"M"	"Black or African American"	"2054-5"	28	1228282	2.3
	"Heroin"	"T40.1"	"1999"	"1999"	"California"	"06"	"Male"	"M"	"White"	"2106-3"	387	13289192	2.9
	"Heroin"	"T40.1"	"1999"	"1999"	"Colorado"	"08"	"Male"	"M"	"White"	"2106-3"	33	1952428	1.7
	"Heroin"	"T40.1"	"1999"	"1999"	"Connecticut"	"09"	"Male"	"M"	"White"	"2106-3"	76	1427459	5.3
	"Heroin"	"T40.1"	"1999"	"1999"	"District of Columbia"	"11"	"Male"	"M"	"Black or African American"	"2054-5"	16	160821	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Florida"	"12"	"Female"	"F"	"White"	"2106-3"	14	6629027	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Florida"	"12"	"Male"	"M"	"White"	"2106-3"	106	6349696	1.7
	"Heroin"	"T40.1"	"1999"	"1999"	"Illinois"	"17"	"Male"	"M"	"White"	"2106-3"	18	4906281	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Massachusetts"	"25"	"Male"	"M"	"White"	"2106-3"	12	2711096	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Michigan"	"26"	"Male"	"M"	"Black or African American"	"2054-5"	11	688403	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Michigan"	"26"	"Male"	"M"	"White"	"2106-3"	21	4034851	0.5
	"Heroin"	"T40.1"	"1999"	"1999"	"Missouri"	"29"	"Male"	"M"	"Black or African American"	"2054-5"	13	300905	Unreliable
	"Heroin"	"T40.1"	"1999"	"1999"	"Missouri"	"29"	"Male"	"M"	"White"	"2106-3"	30	2354682	1.3
	"Heroin"	"T40.1"	"1999"	"1999"	"Nevada"	"32"	"Male"	"M"	"White"	"2106-3"	38	849671	4.5
